Kabupaten/Kota,Umur Harapan Hidup (tahun),Harapan Lama Sekolah (tahun),Rata-Rata Lama Sekolah (tahun),Pengeluaran Per Kapita (ribu rupiah),IPM,IPM Class
Simeulue,69.57,14.28,9.81,7686,69.98,sedang
Aceh Singkil,69.85,14.35,8.7,9374,71.14,tinggi
Aceh Selatan,70.33,14.7,8.91,8712,71.14,tinggi
Aceh Tenggara,72.62,14.27,10.09,8566,72.93,tinggi
Aceh Timur,72.13,13.07,8.47,9436,70.73,tinggi
Aceh Tengah,72.93,14.85,9.89,11323,76.45,tinggi
Aceh Barat,71.89,14.64,9.98,10085,74.62,tinggi
Aceh Besar,73.11,14.76,10.36,10309,75.98,tinggi
Pidie,69.88,14.5,9.03,11,72.95,tinggi
Bireuen,73.66,14.87,9.32,10,74.56,tinggi
Aceh Utara,72.63,14.74,8.85,9,72.5,tinggi
Aceh Barat Daya,70.47,13.67,8.77,9043,70.47,tinggi
Gayo Lues,69.8,14.34,8.42,9,70.82,tinggi
Aceh Tamiang,73.63,14.23,9.24,905,73.02,tinggi
Nagan Raya,72.53,14.17,8.96,9062,72.15,tinggi
Aceh Jaya,70.76,14.02,8.74,10,72.44,tinggi
Bener Meriah,72.85,13.72,10.12,11855,76.06,tinggi
Pidie Jaya,73.16,14.99,9.58,11005,76.04,tinggi
Kota Banda Aceh,75.02,17.93,13.04,17521,88.32,sangat tinggi
Kota Sabang,73.34,14.68,11.2,12137,78.7,tinggi
Kota Langsa,73.98,15.7,11.27,12678,80.5,sangat tinggi
Kota Lhokseumawe,74.76,15.54,11.27,12125,80.26,sangat tinggi
Kota Subulussalam,69.68,15.06,8.32,8065,69.66,sedang
Nias,71.74,13.3,6.14,7301,65.15,sedang
Mandailing Natal,71.72,13.86,8.84,10251,72.65,tinggi
Tapanuli Selatan,71.61,13.58,9.51,11829,74.58,tinggi
Tapanuli Tengah,71.76,13.49,8.87,1069,72.77,tinggi
Tapanuli Utara,74.1,13.73,10.09,12115,76.86,tinggi
Toba Samosir,74.22,13.59,10.59,12676,77.83,tinggi
Labuhan Batu,72.88,13.25,9.49,1167,74.7,tinggi
Asahan,73.39,12.64,8.83,11795,73.59,tinggi
Simalungun,74.08,12.82,9.72,11746,75.17,tinggi
Dairi,74.13,13.32,9.88,10969,75.18,tinggi
Karo,74.16,13.25,10.03,12779,76.88,tinggi
Deli Serdang,73.65,13.39,10.28,1289,77.16,tinggi
Langkat,74.14,13.27,8.73,11632,74.33,tinggi
Nias Selatan,71.61,12.78,6.48,7299,64.98,sedang
Humbang Hasundutan,74.07,13.32,10.01,8476,72.49,tinggi
Pakpak Bharat,72.61,13.9,9.61,8764,72.3,tinggi
Samosir,74.1,13.51,9.47,9158,72.93,tinggi
Serdang Bedagai,73.11,12.64,8.85,11695,73.4,tinggi
Batu Bara,72.63,13.11,8.5,10933,72.56,tinggi
Padang Lawas Utara,71.57,13.53,9.55,10615,73.45,tinggi
Padang Lawas,71.52,13.7,9.43,9395,72.16,tinggi
Labuhan Batu Selatan,72.46,13.42,8.93,1195,74.23,tinggi
Labuhan Batu Utara,74.06,13.57,8.87,12429,75.45,tinggi
Nias Utara,72.12,13.36,6.85,7,65.44,sedang
Nias Barat,72.3,12.98,7.07,6,64.68,sedang
Kota Sibolga,74.02,13.42,10.44,12285,77.07,tinggi
Kota Tanjung Balai,74.01,13.14,9.68,11753,75.42,tinggi
Kota Pematang Siantar,74.75,14.6,11.58,13,80.46,sangat tinggi
Kota Tebing Tinggi,74.07,13.12,10.86,13385,78.17,tinggi
Kota Medan,74.76,14.78,11.62,15674,82.61,sangat tinggi
Kota Binjai,74.18,14.17,11.19,11567,78.11,tinggi
Kota Padangsidimpuan,73.54,14.59,11.12,11552,78.1,tinggi
Kota Gunungsitoli,74.03,13.78,8.65,8635,71.55,tinggi
Kepulauan Mentawai,71.06,12.9,7.76,6891,65.79,sedang
Pesisir Selatan,73.27,13.36,8.58,9953,72.24,tinggi
Solok,72.31,13.55,7.9,10717,71.92,tinggi
Sijunjung,72.59,12.72,8.57,11018,72.3,tinggi
