,Daerah,UHH (tahun),HLS (tahun),RLS (tahun),Pengeluaran (ribu rupiah),IPM
0,Simeulue,69.57,14.28,9.81,7686,69.98
1,Aceh Singkil,69.85,14.35,8.7,9374,71.14
2,Aceh Selatan,70.33,14.7,8.91,8712,71.14
3,Aceh Tenggara,72.62,14.27,10.09,8566,72.93
4,Aceh Timur,72.13,13.07,8.47,9436,70.73
5,Aceh Tengah,72.93,14.85,9.89,11323,76.45
6,Aceh Barat,71.89,14.64,9.98,10085,74.62
7,Aceh Besar,73.11,14.76,10.36,10309,75.98
8,Pidie,69.88,14.5,9.03,11,72.95
9,Bireuen,73.66,14.87,9.32,10,74.56
10,Aceh Utara,72.63,14.74,8.85,9,72.5
11,Aceh Barat Daya,70.47,13.67,8.77,9043,70.47
12,Gayo Lues,69.8,14.34,8.42,9,70.82
13,Aceh Tamiang,73.63,14.23,9.24,905,73.02
14,Nagan Raya,72.53,14.17,8.96,9062,72.15
15,Aceh Jaya,70.76,14.02,8.74,10,72.44
16,Bener Meriah,72.85,13.72,10.12,11855,76.06
17,Pidie Jaya,73.16,14.99,9.58,11005,76.04
18,Kota Banda Aceh,75.02,17.93,13.04,17521,88.32
19,Kota Sabang,73.34,14.68,11.2,12137,78.7
20,Kota Langsa,73.98,15.7,11.27,12678,80.5
21,Kota Lhokseumawe,74.76,15.54,11.27,12125,80.26
22,Kota Subulussalam,69.68,15.06,8.32,8065,69.66
23,Nias,71.74,13.3,6.14,7301,65.15
24,Mandailing Natal,71.72,13.86,8.84,10251,72.65
25,Tapanuli Selatan,71.61,13.58,9.51,11829,74.58
26,Tapanuli Tengah,71.76,13.49,8.87,1069,72.77
27,Tapanuli Utara,74.1,13.73,10.09,12115,76.86
28,Toba Samosir,74.22,13.59,10.59,12676,77.83
29,Labuhan Batu,72.88,13.25,9.49,1167,74.7
30,Asahan,73.39,12.64,8.83,11795,73.59
31,Simalungun,74.08,12.82,9.72,11746,75.17
32,Dairi,74.13,13.32,9.88,10969,75.18
33,Karo,74.16,13.25,10.03,12779,76.88
34,Deli Serdang,73.65,13.39,10.28,1289,77.16
35,Langkat,74.14,13.27,8.73,11632,74.33
36,Nias Selatan,71.61,12.78,6.48,7299,64.98
37,Humbang Hasundutan,74.07,13.32,10.01,8476,72.49
38,Pakpak Bharat,72.61,13.9,9.61,8764,72.3
39,Samosir,74.1,13.51,9.47,9158,72.93
40,Serdang Bedagai,73.11,12.64,8.85,11695,73.4
41,Batu Bara,72.63,13.11,8.5,10933,72.56
42,Padang Lawas Utara,71.57,13.53,9.55,10615,73.45
43,Padang Lawas,71.52,13.7,9.43,9395,72.16
44,Labuhan Batu Selatan,72.46,13.42,8.93,1195,74.23
45,Labuhan Batu Utara,74.06,13.57,8.87,12429,75.45
46,Nias Utara,72.12,13.36,6.85,7,65.44
47,Nias Barat,72.3,12.98,7.07,6,64.68
48,Kota Sibolga,74.02,13.42,10.44,12285,77.07
49,Kota Tanjung Balai,74.01,13.14,9.68,11753,75.42
50,Kota Pematang Siantar,74.75,14.6,11.58,13,80.46
51,Kota Tebing Tinggi,74.07,13.12,10.86,13385,78.17
52,Kota Medan,74.76,14.78,11.62,15674,82.61
53,Kota Binjai,74.18,14.17,11.19,11567,78.11
54,Kota Padangsidimpuan,73.54,14.59,11.12,11552,78.1
55,Kota Gunungsitoli,74.03,13.78,8.65,8635,71.55
56,Kepulauan Mentawai,71.06,12.9,7.76,6891,65.79
57,Pesisir Selatan,73.27,13.36,8.58,9953,72.24
58,Solok,72.31,13.55,7.9,10717,71.92
59,Sijunjung,72.59,12.72,8.57,11018,72.3
60,Tanah Datar,74.19,14.78,9.02,10905,75.57
61,Padang Pariaman,73.77,14.19,8.41,11432,74.54
62,Agam,74.22,13.89,9.22,10402,74.44
63,Lima Puluh Kota,73.25,13.41,8.12,10285,72.05
64,Pasaman,72.04,13.25,8.13,9,69.85
65,Solok Selatan,72.22,12.8,8.69,10884,72.24
66,Dharmasraya,74.04,12.68,8.71,11901,73.87
67,Pasaman Barat,72.44,13.7,8.81,9538,72.03
68,Kota Padang,74.94,16.56,11.62,15089,83.98
